# W C5 C4 C3 C2 C1 X2 Q5 Q4 Q3 Q2 Q1
3.004 0.864 0.478 0.478 0.198 0.010 0.864 14.694 14.322 13.873 13.402 13.006
0.864 1.572 1.572 1.103 0.637 0.637 1.103 2.295 4.073 6.920 8.890 9.962
0.478 1.572 1.572 1.572 1.103 0.637 1.103 1.803 2.649 5.320 7.071 9.058
0.478 1.103 1.572 1.572 1.572 1.572 1.103 0.601 1.746 3.631 5.253 6.999
0.198 0.637 1.103 1.572 1.572 2.080 1.103 0.145 0.378 0.924 1.170 2.529
0.010 0.637 0.637 1.572 2.080 1.572 1.103 0.010 0.151 0.624 0.909 2.135
0.864 1.103 1.103 1.103 1.103 1.103 2.080 2.488 3.875 5.571 7.318 9.302
14.694 2.295 1.803 0.601 0.145 0.010 2.488 0.010 0.010 0.010 0.010 0.010
14.322 4.073 2.649 1.746 0.378 0.151 3.875 0.010 0.010 0.010 0.010 0.010
13.873 6.920 5.320 3.631 0.924 0.624 5.571 0.010 0.010 0.010 0.010 0.010
13.402 8.890 7.071 5.253 1.170 0.909 7.318 0.010 0.010 0.010 0.010 0.010
13.006 9.962 9.058 6.999 2.529 2.135 9.302 0.010 0.010 0.010 0.010 0.010
