# W C5 C4 C3 C2 C1 X2 Q5 Q4 Q3 Q2 Q1
3.357 0.995 0.573 0.573 0.267 0.010 0.995 16.063 15.652 15.159 14.643 14.209
0.995 1.778 1.778 1.268 0.759 0.759 1.268 2.553 4.487 7.576 9.713 10.879
0.573 1.778 1.778 1.778 1.268 0.759 1.268 2.009 2.940 5.840 7.739 9.895
0.573 1.268 1.778 1.778 1.778 1.778 1.268 0.692 1.955 4.005 5.767 7.661
0.267 0.759 1.268 1.778 1.778 2.333 1.268 0.179 0.438 1.042 1.310 2.795
0.010 0.759 0.759 1.778 2.333 1.778 1.268 0.010 0.191 0.715 1.025 2.367
0.995 1.268 1.268 1.268 1.268 1.268 2.333 2.766 4.272 6.113 8.008 10.160
16.063 2.553 2.009 0.692 0.179 0.010 2.766 0.039 0.010 0.010 0.010 0.010
15.652 4.487 2.940 1.955 0.438 0.191 4.272 0.010 0.010 0.010 0.010 0.010
15.159 7.576 5.840 4.005 1.042 0.715 6.113 0.010 0.010 0.010 0.010 0.010
14.643 9.713 7.739 5.767 1.310 1.025 8.008 0.010 0.010 0.010 0.010 0.010
14.209 10.879 9.895 7.661 2.795 2.367 10.160 0.010 0.010 0.010 0.010 0.010
